"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group","plant_id","impute.leafN.mg.g","impute.height.m","impute.rootN.mg.g","impute.SLA_m2.kg","impute.root.depth_m","impute.rootDiam.mm","impute.SRL.groot.cahill.merge","impute.RTD.groot.cahill.merge","impute.RMF.g.g","leafN.final","height.final","rootN.final","SLA.final","root.depth.final","rootDiam.final","SRL.final","RTD.final","RMF.final"
"1","jilpanger.au","ACAENA ECHINATA",-3.5,NA,0.3384125,NA,13.19,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB",4,19.3234786126206,0.351397153674581,8.73258201188444,14.7654288262614,0.887186341815504,0.361660376408523,19.4637826948792,0.365026376498223,0.294337512172909,19.3234786126206,0.3384125,8.73258201188444,13.19,0.887186341815504,0.361660376408523,19.4637826948792,0.365026376498223,0.294337512172909
"2","matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",7,16.4758615965537,0.158244870344018,8.50422934691656,30.1519928260649,0.204406976508204,0.7340002239909,115.685831714206,0.209842809785865,0.551059974098397,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"3","oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",8,16.4863042400164,0.157567593359363,8.50077241579706,30.1793807136109,0.205082323024367,0.730561633316891,115.36704631083,0.210279001156327,0.551325446136116,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"4","cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",9,16.4680474709936,0.157850097302221,8.49647549891379,30.2717520600313,0.20456021731588,0.732095958638497,115.678875436846,0.209902637486651,0.549649618747727,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"5","allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",10,16.4846805968468,0.157753136689053,8.50261461676774,30.271653432724,0.204645568617023,0.731895139507862,115.348548281648,0.210339257587212,0.551102318795894,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"6","allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",11,16.4902016361238,0.157937950185512,8.50190145936091,30.2911879078956,0.204054882831057,0.730714671489171,115.325429916033,0.210327996235414,0.549183058130417,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"7","kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",12,16.4739144780515,0.158042615768589,8.49145857935456,30.1884608942782,0.205068317316442,0.733256955333655,115.277409903866,0.210216632635525,0.551131132512098,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"8","elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",13,16.4675473850354,0.157724407366253,8.49301182550066,30.2017090884812,0.204201828865004,0.731781005473753,115.410476950096,0.20965432744459,0.550680326879216,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"9","brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",14,16.4825430438793,0.157894017633653,8.50722186598459,30.2111240851793,0.204656523352867,0.732761304986116,115.807247426829,0.210236406017104,0.550751872551308,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"10","hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",15,16.4749691386744,0.158257856387689,8.50186184125889,30.2348221799328,0.205134947609626,0.732945674467518,115.378095159743,0.210124482794706,0.550767578942975,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
